Functional_Type,Morphotype,Order,Family,Genus,Species,L060.F250,L060.F125,L060.F063,L002.F250,L002.F125,L002.F063,L110.F250,L110.F125,L110.F063,L012.F250,L012.F125,L140.F250,L140.F125,L032.F250,L032.F125,L037.F250,L037.F125,L007.F250,L007.F125,L150.F250,L150.F125
Heterotrophic,Tapered.cylindrical,Lagenida,Lagenidae,Procerolagena,Procerolagena sp,,,,,,,,,,,,,,,,,,,,,1
Heterotrophic,Flattened.ovoid,Nodosariida,Lagenidae,Seguenzaella,Seguenzaella sp.,,,,,,,,,,,,,,,,,1,,,,
Opportunistic,Tapered.cylindrical,Rotaliida,Bolivinitidae,Sagrinella,Sagrinella jugosa,,,,,,,,,,,,,,,,,1,,,,
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Sigmoihauerina,Sigmoihauerina involuta,,1,,,,,,1,,,,,,,1,,,,,,
Heterotrophic,Milioline,Miliolida ,Riveroinidae,Pseudohauerina,Pseudohauerinella orientalis,,6,,2,1,,,3,,1,,,1,1,4,,2,2,6,,2
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Pseudomassilina,Pseudomassilina macilenta,,,,,,,,,,,,,,,,,,,,,1
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Pyrgo ,Pyrgo sp. 1,,,,,,,,0,1,,,,,,1,,,,,,2
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Quinqueloculina,Quinqueloculina cf. Q. agglutinans,,0,1,,,,,,,,,,,,1,,1,,,1,1
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Quinqueloculina,Quinqueloculina sp. 1,,18,5,,7,1,,6,,3,18,,3,5,17,1,22,4,13,,5
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Quinqueloculina,Quinqueloculina sp. 2,,1,,,,,,,,,,,,,,,,,,,2
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Quinqueloculina,Quinqueloculina sp. 3,,,,1,,,,,,,,,,,,,,,,,1
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Quinqueloculina,Quinqueloculina baccaerti,4,12,,6,11,,1,2,1,2,11,2,,1,24,1,26,1,20,,14
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Quinqueloculina,Quinqueloculina bosciana,,5,,,1,,,9,2,,5,,25,1,14,,9,1,12,3,7
